AHSANULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,2
AMERICAN INTERNATIONAL UNIVERSITY-BANGLADESH,2
BANGLADESH UNIVERSITY OF BUSINESS AND TECHNOLOGY,1
BANGLADESH UNIVERSITY OF PROFESSIONALS,1
BRAC UNIVERSITY,3
CHITTAGONG UNIVERSITY OF ENGINEERING AND TECHNOLOGY,4
CITY UNIVERSITY,1
COMILLA UNIVERSITY,3
DAFFODIL INTERNATIONAL UNIVERSITY,2
DHAKA INTERNATIONAL UNIVERSITY,1
DHAKA UNIVERSITY OF ENGINEERING & TECHNOLOGY,1
EAST DELTA UNIVERSITY,1
EAST WEST UNIVERSITY,2
EASTERN UNIVERSITY OF BANGLADESH,1
FENI UNIVERSITY,1
GOPALGANJ SCIENCE AND TECHNOLOGY UNIVERSITY (GSTU),1
GREEN UNIVERSITY OF BANGLADESH,1
HAJEE MOHAMMAD DANESH SCIENCE AND TECHNOLOGY UNIVERSITY,1
"INDEPENDENT UNIVERSITY, BANGLADESH",1
INTERNATIONAL ISLAMIC UNIVERSITY CHITTAGONG,2
INTERNATIONAL UNIVERSITY OF BUSINESS AGRICULTURE & TECHNOLOGY,1
ISLAMIC UNIVERSITY,1
ISLAMIC UNIVERSITY OF TECHNOLOGY,4
JAGANNATH UNIVERSITY,1
JAHANGIRNAGAR UNIVERSITY,3
JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY,1
JATIYA KABI KAZI NAZRUL ISLAM UNIVERSITY,1
KHULNA UNIVERSITY,1
KHULNA UNIVERSITY OF ENGINEERING & TECHNOLOGY,3
KISHOREGANJ UNIVERSITY,1
LEADING UNIVERSITY,1
MAWLANA BHASHANI SCIENCE & TECHNOLOGY UNIVERSITY,2
METROPOLITAN UNIVERSITY,1
MILITARY INSTITUTE OF SCIENCE & TECHNOLOGY,1
NETROKONA UNIVERSITY,1
NOAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,1
NORTH SOUTH UNIVERSITY,2
NORTHERN UNIVERSITY OF BUSINESS AND TECHNOLOGY,1
PATUAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,1
PREMIER UNIVERSITY,1
PRESIDENCY UNIVERSITY,1
PRIME UNIVERSITY,1
RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,4
RANGAMATI SCIENCE AND TECHNOLOGY UNIVERSITY,1
SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY,5
SOUTHEAST UNIVERSITY,1
SYLHET ENGINEERING COLLEGE,2
UNITED INTERNATIONAL UNIVERSITY,1
UNIVERSITY OF ASIA PACIFIC,1
UNIVERSITY OF BARISAL,1
UNIVERSITY OF CHITTAGONG,2
UNIVERSITY OF DHAKA,5
UNIVERSITY OF INFORMATION TECHNOLOGY & SCIENCES,1
UNIVERSITY OF RAJSHAHI,2
UTTARA UNIVERSITY,1
VARENDRA UNIVERSITY,1
