University,Team Count
Ahsanullah University of Science and Technology,3
American International University - Bangaldesh,7
Asian University of Bangladesh,2
BGC Trust University Bangladesh,4
BGIFT Institute Of Science And Technology,1
BRAC University,6
BUET,1
Bangladesh Agricultural University,1
Bangladesh Open University,1
Bangladesh University Of Professionals,3
Bangladesh University of Business & Technology,6
Brahmanbaria Polytechnic Institute,1
CCN University of Science & Technology,1
Chandpur Science and Technology University,5
Chittagong University of Engineering & Technology,12
City University,1
Comilla University,9
DHAKA CITY COLLEGE,1
Daffodil International University,6
Dhaka International University,3
"Dhaka University of Engineering & Technology, Gazipur",6
East Delta University,3
East West University,7
Eastern University,2
Faridpur Engineering College,1
Feni university,3
Gopalganj Science and Technology University,6
Green University of Bangladesh,2
Hajee Mohammad Danesh Science and Technology University,3
IOI,2
"Independent University, Bangladesh",1
Institute of Science Trade and Technology.,1
International Islami University of Science and Technology Bangladesh,1
International Islamic University Chittagong,5
International University of Business Agriculture and Technology,5
Islamic University of Technology,6
"Islamic University, Bangladesh",5
Jagannath University,12
Jahangirnagar University,4
Jamalpur Science & Technology University,1
Jashore University of Science and Technology,5
Jatiya Kabi Kazi Nazrul Islam University,1
Khulna University,4
Khulna University of Engineering & Technology,10
Khwaja Yunus Ali University,2
Kishoreganj University,1
Leading University,4
Manarat International University,1
Mawlana Bhashani Science &Technology University,1
Mawlana Bhashani Science and Technology University,6
Metropolitan University,5
Military Institute of Science & Technology,15
Military Institute of Science and Technology (MIST)  Military Institute of Science and Technology (MIST),1
Mohammadpur Government College,1
Mymensingh Engineering College,1
NSTU,1
National Institute of Textile Engineering and Research,2
"National University, Bangladesh",1
Netrokona University,2
"Netrokona University, Netrokona",1
Noakhali Science & Technology University,6
North South University,3
Northern University Bangladesh,1
Northern University of Business and Technology Khulna,1
Notre Dame University Bangladesh,1
Pabna Engineering College,1
Pabna University of Science and Technology,2
"Pabna University of Science and Technology, Pabna",1
Patuakhali Science & Technology University,11
Port City International University,4
Premier University Chittagong,2
Presidency University,4
Prime University,4
Rajshahi University of Engineerign and Technology,6
Rangamati Science and Technology University,1
"Rangpur Polytechnic Insitute, Rangpur",1
Rawshan Ara Prodan,1
Shahjalal University of Science and Technology,6
Shanto Mariam University of Creative Technology,1
Shanto-Mariam University of Creative Technology,1
Sonargaon University,1
Southeast University,1
Sylhet Engineering College,4
Sylhet International University,3
"Tejgaon College, Dhaka",1
United International University,5
University Of Barishal,5
University Of Scholars,4
University of Asia Pacific,10
University of Chittagong,4
University of Dhaka,8
"University of Frontier Technology, Bangladesh",2
University of Information Technology & Sciences,5
University of Liberal Arts Bangladesh,1
University of Rajshahi,8
University of Science and Technology Chittagong,2
University of information technology and sciences - UITS,1
Uttara University,3
Varendra University,1
Z.H. Sikder University of Science & Technology,1
gggg,1
